SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;URL
MA;09610;Aï¿½AILï¿½;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ma/ma09610-c0011-e000619-u.json',
GO;93360;ABADIA DE GOIï¿;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/go/go93360-c0011-e000619-u.json',
MG;40010;ABADIA DOS DOURADOS;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/mg/mg40010-c0011-e000619-u.json',
GO;92010;ABADIï¿½N;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/go/go92010-c0011-e000619-u.json',
MG;40037;ABAETï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/mg/mg40037-c0011-e000619-u.json',
PA;04014;ABAETETUBA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pa/pa04014-c0011-e000619-u.json',
CE;13013;ABAIARA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ce/ce13013-c0011-e000619-u.json',
BA;33030;ABARï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ba/ba33030-c0011-e000619-u.json',
BA;33014;ABAï¿½;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ba/ba33014-c0011-e000619-u.json',
PR;74012;ABATIï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pr/pr74012-c0011-e000619-u.json',
SC;80225;ABDON BATISTA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/sc/sc80225-c0011-e000619-u.json',
PA;04502;ABEL FIGUEIREDO;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pa/pa04502-c0011-e000619-u.json',
SC;80012;ABELARDO LUZ;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/sc/sc80012-c0011-e000619-u.json',
MG;40053;ABRE CAMPO;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/mg/mg40053-c0011-e000619-u.json',
PE;26310;ABREU E LIMA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pe/pe26310-c0011-e000619-u.json',
TO;73008;ABREULï¿½ND;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/to/to73008-c0011-e000619-u.json',
MG;40070;ACAIACA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/mg/mg40070-c0011-e000619-u.json',
BA;33057;ACAJUTIBA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ba/ba33057-c0011-e000619-u.json',
PA;04030;ACARï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pa/pa04030-c0011-e000619-u.json',
CE;13030;ACARAï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ce/ce13030-c0011-e000619-u.json',
CE;13145;ACARAPE;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ce/ce13145-c0011-e000619-u.json',
RN;16012;ACARI;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/rn/rn16012-c0011-e000619-u.json',
PI;12327;ACAUï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pi/pi12327-c0011-e000619-u.json',
RS;88986;ACEGUï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/rs/rs88986-c0011-e000619-u.json',
CE;13056;ACOPIARA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ce/ce13056-c0011-e000619-u.json',
MT;90018;ACORIZAL;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/mt/mt90018-c0011-e000619-u.json',
AC;01120;ACRELï¿½ND;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ac/ac01120-c0011-e000619-u.json',
GO;96458;ACREï¿½;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/go/go96458-c0011-e000619-u.json',
SP;61018;ADAMANTINA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/sp/sp61018-c0011-e000619-u.json',
GO;96911;ADELï¿½ND;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/go/go96911-c0011-e000619-u.json',
SP;61034;ADOLFO;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/sp/sp61034-c0011-e000619-u.json',
PR;74039;ADRIANï¿½POL;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pr/pr74039-c0011-e000619-u.json',
BA;33065;ADUSTINA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ba/ba33065-c0011-e000619-u.json',
PE;23019;AFOGADOS DA INGAZEIRA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pe/pe23019-c0011-e000619-u.json',
RN;16055;AFONSO BEZERRA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/rn/rn16055-c0011-e000619-u.json',
ES;56014;AFONSO CLï¿½UD;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/es/es56014-c0011-e000619-u.json',
MA;07013;AFONSO CUNHA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/ma/ma07013-c0011-e000619-u.json',
PE;23035;AFRï¿½N;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pe/pe23035-c0011-e000619-u.json',
PA;04057;AFUï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pa/pa04057-c0011-e000619-u.json',
PE;23051;AGRESTINA;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pe/pe23051-c0011-e000619-u.json',
PI;10014;AGRICOLï¿½ND;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pi/pi10014-c0011-e000619-u.json',
SC;80039;AGROLï¿½ND;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/sc/sc80039-c0011-e000619-u.json',
SC;80055;AGRONï¿½MI;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/sc/sc80055-c0011-e000619-u.json',
SP;61050;AGUAï;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/sp/sp61050-c0011-e000619-u.json',
MG;40150;AGUANIL;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/mg/mg40150-c0011-e000619-u.json',
RS;85014;AGUDO;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/rs/rs85014-c0011-e000619-u.json',
SP;61131;AGUDOS;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/sp/sp61131-c0011-e000619-u.json',
PR;74055;AGUDOS DO SUL;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pr/pr74055-c0011-e000619-u.json',
PB;19038;AGUIAR;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/pb/pb19038-c0011-e000619-u.json',
TO;73512;AGUIARNï¿½POL;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/to/to73512-c0011-e000619-u.json',
MG;40215;AIMORï¿;'https://resultados.tse.jus.br/oficial/ele2024/619/dados/mg/mg40215-c0011-e000619-u.json',
